player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary
Jaylin Williams,OKC,21,205.74,108.86208,Arkansas,USA,3,49,5.9,4.9,1.6,-4.6,0.045,0.23,0.133,0.559,0.109,2022-23,2
Jayson Tatum,BOS,25,203.2,95.25432,Duke,USA,1,74,30.1,8.8,4.6,8.5,0.029,0.2,0.319,0.607,0.205,2022-23,30.35178
Jeff Green,DEN,36,203.2,106.59412,Georgetown,USA,1,56,7.8,2.6,1.2,-8,0.035,0.096,0.167,0.576,0.095,2022-23,4.5
Jerami Grant,POR,29,203.2,95.25432,Syracuse,USA,3,63,20.5,4.5,2.4,-1.2,0.025,0.104,0.227,0.606,0.103,2022-23,20.955000000000002
Jeremiah Robinson-Earl,OKC,22,203.2,108.86208,Villanova,USA,3,43,6.8,4.2,1,-0.9,0.082,0.129,0.143,0.548,0.069,2022-23,2
Jeremy Sochan,SAS,20,203.2,104.32616,Baylor,Poland,1,56,11,5.3,2.5,-7,0.06,0.14,0.195,0.509,0.132,2022-23,5.06352
Jevon Carter,MIL,27,185.42,90.7184,West Virginia,USA,3,81,8,2.5,2.4,1.9,0.018,0.084,0.149,0.56,0.15,2022-23,6.025
Jimmy Butler,MIA,33,200.66,104.32616,Marquette,USA,3,64,22.9,5.9,5.3,1.2,0.068,0.121,0.248,0.647,0.264,2022-23,37.6533
Jock Landale,PHX,27,210.82,115.66596,St. Mary's,Australia,5,69,6.6,4.1,1,7.9,0.114,0.164,0.182,0.595,0.101,2022-23,1.563518
Joe Harris,BKN,31,198.12,99.79024,Virginia,USA,3,74,7.6,2.2,1.4,-1,0.016,0.089,0.141,0.621,0.091,2022-23,18.642857
Joe Ingles,MIL,35,205.74,99.79024,,Australia,5,46,6.9,2.8,3.3,2.5,0.012,0.102,0.122,0.616,0.181,2022-23,6.479000000000001
Joe Wieskamp,TOR,23,198.12,92.98636,Iowa,USA,3,9,1,0.4,0.3,1,0,0.068,0.115,0.321,0.083,2022-23,2.909261
Joel Embiid,PHI,29,213.36,127.00576,Kansas,Cameroon,1,66,33.1,10.2,4.2,8.8,0.057,0.243,0.37,0.655,0.233,2022-23,33.61677
John Collins,ATL,25,205.74,102.511792,Wake Forest,USA,2,71,13.1,6.5,1.2,-0.2,0.035,0.18,0.168,0.593,0.052,2022-23,23.5
Jericho Sims,NYK,24,208.28,113.398,Texas,USA,5,52,3.4,4.7,0.5,-6.7,0.117,0.175,0.074,0.78,0.044,2022-23,1.6398420000000002
JaMychal Green,GSW,33,205.74,102.965384,Alabama,USA,5,57,6.4,3.6,0.9,-8.2,0.087,0.164,0.169,0.65,0.094,2022-23,8.2
